Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.109,0.00,,
0.215,0.00,,
0.336,0.01,,
0.439,0.02,,
0.541,0.06,,
0.644,0.13,,
0.747,0.24,,
0.850,0.39,,
0.952,0.57,,
1.137,0.79,,
1.238,10.42,,
1.348,10.42,,
1.450,13.31,,
1.554,16.54,,
1.666,20.10,,
1.777,24.00,,
1.886,28.22,,
1.992,3.28,,
2.108,37.64,,
2.219,42.84,,
2.320,48.35,,
2.428,54.20,,
2.537,54.20,,
2.643,60.34,,
2.755,70.15,,
2.863,86.24,,
2.974,11.35,,
3.075,16.00,,
3.177,21.72,,
3.285,28.18,,
3.395,35.50,,
3.496,43.70,,
3.610,52.75,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
0.109,0x0001,Roket kalkışı algılandı,0.00
1.212,0x0003,Motor yanma önlem süresi doldu,10.42
